Group,Genus,Species,Paper,Authors,Journal,Peer_reviewed,Year,Link,Sex,Experiment_location,Swarming_time,Copula_observed,Swarming.duration..min.,Start..relative.to.sunrise.,Start..relative.to.sunset.,Sweep_net_used,Males.collected..field.,Swarm.size.by.eye..field.,Height..m.above.ground.
Ae. triseriatus,Aedes,triseriatus,Field observations on the biology of Aedes triseriatus,Nielsen E.T. ; Nielsen A.T. ,Ecology,Y,1953,,Male,Field,Dusk,Y,75,,-90,Y,,,2.29
Ae. triseriatus,Aedes,triseriatus,Swarming and Mating Behavior in Laboratory Colonies of Aedes triseriatus (Diptera: Culicidae),Wright J.E.; Kappus K.D.; Venard C.E.,Annals of the Entomological Society of America,Y,1966,https://doi.org/10.1093/aesa/59.6.1110,Male,Lab,Dusk,Y,,,,N,,,
Ae. ventrovittis,Aedes,ventrovittis,Swarming and mating of some California mosquitoes,Kliewer J.W.; Rosay B.; Miura T.; Myers C.M.; Boreham M.M.,Journal of Medical Entomology,Y,1967,https://doi.org/10.1093/jmedent/4.4.490,Male,Field,Daylight,N,,,,N,,,
An. albimanus,Anopheles,albimanus,Precopulatory acoustic interactions of the New World malaria vector Anopheles albimanus (Diptera: Culicidae),Pantoja-Sánchez H.; Gomez S.; Velez V.; Avila F.W.; Alfonso-Parra C.,Parasites & Vectors,Y,2019,https://doi.org/10.1186/s13071-019-3648-8,Male,Lab,Dusk,N,,,,N,,,
An. annularis,Anopheles,annularis,Observations on the Swarming and Mating of Some Pakistan Mosquitoes in Nature,Reisen W.K.; Aslam Y.; Siddiqui T.F.,Annals of the Entomological Society of America,Y,1977,https://doi.org/10.1093/aesa/70.6.988,Male,Field,Dusk,Y,,,-10,Y,,27.5,3
An. arabiensis,Anopheles,arabiensis,Anopheles gambiae s.l. swarms trapping as a complementary tool against residual malaria transmission in eastern Gambia,Assogba B.S.; Sillah S.; Opondo K.O.; Cham S.T.; Camara M.M.; Jadama L.; Camara L.; Ndiaye A.; Wathuo M.; Jawara M.; Diabaté A.; Achan J.; D’Alessandro U.,Scientific Reports,Y,2022,https://doi.org/10.1038/s41598-022-21577-7,Male,Field,Dusk,N,8.03,,5,Y,,57.64 ,1.7
An. arabiensis,Anopheles,arabiensis,"New evidence of mating swarms of the malaria vector, Anopheles arabiensis in Tanzania",Kaindoa E.W.; Ngowo H.S.; Limwagu A.; Mkandawile G.; Kihonda J.; Masalu J.P.; Bwanary H.; Diabate A.; Okumu F.O.,Wellcome Open Research,Y,2017,https://doi.org/10.12688/wellcomeopenres.12458.1,Male,Field,Dusk,Y,20,,0,Y,56,100,2.74
An. arabiensis,Anopheles,arabiensis,Field observations on swarming and mating in Anopheles gambiae mosquitoes in Tanzania,Marchand M.P.,Netherlands Journal of Zoology,Y,1983,https://doi.org/10.1163/002829684X00209,Male,Field,Dusk,Y,20,,10,Y,,,1.25
An. arabiensis,Anopheles,arabiensis,"Ecology of reproduction of Anopheles arabiensis in an urban area of Bobo-Dioulasso, Burkina Faso (West Africa): Monthly swarming and mating frequency and their relation to environmental factors",Somda N.S.B.; Poda B.S.; Sawadogo P.S.; Gnankiné O.; Maiga H.; Fournet F.; Lees R.S.; Bouyer J.; Gilles J.; Sanon A.; Diabaté A.; Dabiré K.R.,PLoS ONE,Y,2018,https://doi.org/10.1371/journal.pone.0205966,Male,Field,Dusk,Y,28.31,,0,Y,,118.55,
An. arabiensis,Anopheles,arabiensis,"Occurrence of natural Anopheles arabiensis swarms in an urban area of Bobo-Dioulasso city, Burkina Faso, West Africa",Dabiré K.R.; Sawadogo P.S.; Hien D.F.; Bimbilé-Somda N.S.; Soma D.D.; Millogo A.; Baldet T.; Gouagna L.C.; Simard F.; Lefèvre T.; Diabaté A.; Lees R.S.; Gilles J.R.L.,Acta Tropica,Y,2014,https://doi.org/10.1016/j.actatropica.2013.12.012,Male,Field,Dusk,N,,,,Y,65,107,2.88
